base	train_task	method	quantity	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	magicoder	original_lora	shannon_eff_rank	10.339553333333333	0.38262426182004305	9.90374	10.62032	10.4946
Qwen3-8B	magicoder	original_lora	r2_participation	6.485653333333333	0.4485893269275733	5.97977	6.835	6.64219
Qwen3-8B	magicoder	original_lora	stable_rank	1.3462899999999998	0.05477250313797974	1.28554	1.3919	1.36143
Qwen3-8B	magicoder	original_lora	flatness	0.71265	0.01532015665716251	0.69497	0.72201	0.72097
Qwen3-8B	magicoder	original_lora	gini	0.44715666666666665	0.013036565242936246	0.4622	0.43916	0.44011
Qwen3-8B	magicoder	original_lora	decay_slope	-0.12749333333333332	0.0017830404743957298	-0.12546	-0.12879	-0.12823
Qwen3-8B	magicoder	original_lora	erank_energy	2.98533	0.3125056999480171	2.63833	3.24458	3.07308
Qwen3-8B	magicoder	original_lora	entropy_gap	1.2174566666666666	0.06350319230820868	1.28928	1.16875	1.19434
Qwen3-8B	magicoder	original_lora	hill_tail_contrast	1.3865733333333334	0.029725111157627947	1.35357	1.39491	1.41124
Qwen3-8B	magicoder	original_lora	d_flat_l1	0.70532	0.028319117217879535	0.73802	0.6889	0.68904
Qwen3-8B	magicoder	original_lora	soft_rank	0.18399333333333334	0.010514639001569829	0.17227	0.19259	0.18712
Qwen3-8B	magicoder	original_lora	head_tail	1.80014	0.02445720343784218	1.8281	1.7896	1.78272
Qwen3-8B	magicoder	original_lora	erank_iqr	2.7860766666666668	0.3373902691740431	3.16571	2.67203	2.52049
Qwen3-8B	magicoder	original_lora	erank_depth_slope	-0.02179	0.01528383786880769	-0.03628	-0.00582	-0.02327
Qwen3-8B	magicoder	original_lora	erank_depth_slope_normalized	-0.7626	0.535004078862956	-1.26982	-0.20358	-0.8144
Qwen3-8B	magicoder	original_lora	erank_attn_mlp_gap	1.3477633333333336	0.2895042753282468	1.68164	1.19523	1.16642
Qwen3-8B	magicoder	original_lora	gamma_param	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	eta_param	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	original_lora	fro_ratio	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	original_head1_retention	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	previous_mean_entropy_rank	0.6305	0.023066991568039378	0.6039	0.64499	0.64261
Qwen3-8B	magicoder	original_lora	base_left_overlap_k16	0.008662999999999999	0.0002965518504410311	0.008614	0.008981	0.008394
Qwen3-8B	magicoder	original_lora	base_right_overlap_k16	0.059747	0.012101398390268789	0.073718	0.05299	0.052533
Qwen3-8B	magicoder	original_lora	base_bilateral_overlap_k16	0.0004933333333333334	9.06660539194981e-05	0.000598	0.000443	0.000439
Qwen3-8B	magicoder	original_lora	target	64.22764227642277	1.2693085362598402	65.2439024390244	62.80487804878049	64.63414634146342
Qwen3-8B	magicoder	original_lora	off_score	78.03676603360815	0.44753455333584613	77.79784283010969	77.75939775549442	78.55305751522032
Qwen3-8B	magicoder	original_lora	forgetting_gap	1.6655167511624869	0.48253822913963124	1.9004202758208966	1.985624576956435	1.1105054007101292
Qwen3-8B	magicoder	original_lora	target_gain	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	original_lora	off_gain	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	original_lora	forgetting_reduction	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	shannon_eff_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_fro	r2_participation	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_fro	stable_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_fro	flatness	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	gini	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	decay_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	erank_energy	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_fro	entropy_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	hill_tail_contrast	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	d_flat_l1	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	soft_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	head_tail	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	erank_iqr	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	erank_depth_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	erank_depth_slope_normalized	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	erank_attn_mlp_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	gamma_param	0.56689	0.046725486621329096	0.51294	0.5933	0.59443
Qwen3-8B	magicoder	flat_fro	eta_param	0.6771833333333334	0.051711830690213775	0.73689	0.648	0.64666
Qwen3-8B	magicoder	flat_fro	fro_ratio	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	original_head1_retention	0.07631	0.004651161145348546	0.07094	0.07907	0.07892
Qwen3-8B	magicoder	flat_fro	previous_mean_entropy_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	base_left_overlap_k16	0.006559666666666666	0.0008656051832870072	0.005566	0.00715	0.006963
