checkpoint	base	train_task	seed	flat_fro_entropy_rank	flat_nuclear_entropy_rank	fro_ratio_fro	fro_ratio_nuclear	target_fro_minus_nuclear	off_fro_minus_nuclear	gap_fro_minus_nuclear
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	1.0	1.0	1.0	0.52159	1.2195121951219505	0.3488886735796939	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	1.0	1.0	1.0	0.60875	-0.5307050796057524	-1.333779426019504	0.2032520325203251
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	1.0	1.0	1.0	0.75736	-1.848428835489841	-0.489988625444596	0.0
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	1.0	1.0	1.0	0.60103	3.0487804878048763	-0.20667963425088942	0.0
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	1.0	1.0	1.0	0.66189	0.2274450341167551	-1.6502285655983684	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	1.0	1.0	1.0	0.8097	-0.9242144177449205	0.06906222349194024	0.0
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	1.0	1.0	1.0	0.6019	-1.8292682926829258	0.2789946314254337	0.0
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	1.0	1.0	1.0	0.66293	1.061410159211519	-0.8201412257880918	0.2032520325203251
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	1.0	1.0	1.0	0.79313	-2.2181146025878036	-0.7249627988811937	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	1.0	1.0	1.0	0.64171	-1.8292682926829258	0.48811073735471666	-0.48811073735470956
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	1.0	1.0	1.0	0.87288	-0.9097801364670204	-2.1023249182727923	0.8828127231508349
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	1.0	1.0	1.0	0.86017	1.4787430683918714	-0.9253768411864769	-0.138190655747015
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	1.0	1.0	1.0	0.68874	0.6097560975609753	-1.2553237410207458	1.4171287738755374
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	1.0	1.0	1.0	0.79695	-1.9711902956785394	-0.4844137205924639	0.9562703269719299
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	1.0	1.0	1.0	0.85664	0.36968576709797674	0.20167976834214585	0.0
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	1.0	1.0	1.0	0.68464	-0.6097560975609753	-0.17628236731535196	-0.12322858903265166
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	1.0	1.0	1.0	0.79975	0.30326004548901153	0.4092228512180043	0.2711912222247197
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	1.0	1.0	1.0	0.85468	-0.739371534195925	0.2056604818273513	0.3285317159464232
