feature	outcome	sources	raw_spearman	within_base_task_pearson	within_base_task_spearman	interpretation
entropy_rank	target	18	-0.15400535305023205	0.004914286236978988	-0.1336306209562122	exploratory n=18, only 3 seeds per stratum; not a validated predictor
entropy_rank	off_score	18	-0.4819401444788441	-0.3445933820171438	-0.41666666666666674	exploratory n=18, only 3 seeds per stratum; not a validated predictor
entropy_rank	forgetting_gap	18	-0.08298866815883083	0.3237082957215655	0.27386127875258304	exploratory n=18, only 3 seeds per stratum; not a validated predictor
energy_entropy_rank	target	18	-0.1178295989780299	0.25910980317040816	-0.1336306209562122	exploratory n=18, only 3 seeds per stratum; not a validated predictor
energy_entropy_rank	off_score	18	-0.43446852425180593	-0.3298795100684153	-0.41666666666666674	exploratory n=18, only 3 seeds per stratum; not a validated predictor
energy_entropy_rank	forgetting_gap	18	-0.13070715235015853	0.2943255126887206	0.27386127875258304	exploratory n=18, only 3 seeds per stratum; not a validated predictor
stable_rank	target	18	-0.1291991216864363	0.3820118354393068	-0.2672612419124244	exploratory n=18, only 3 seeds per stratum; not a validated predictor
stable_rank	off_score	18	-0.41176470588235287	-0.32189300329815734	-0.6666666666666667	exploratory n=18, only 3 seeds per stratum; not a validated predictor
stable_rank	forgetting_gap	18	-0.1410807358700124	0.2700803375456721	0.5477225575051661	exploratory n=18, only 3 seeds per stratum; not a validated predictor
participation_rank	target	18	-0.1178295989780299	0.36470831084622496	-0.1336306209562122	exploratory n=18, only 3 seeds per stratum; not a validated predictor
participation_rank	off_score	18	-0.43859649122807015	-0.3056522708871494	-0.5833333333333334	exploratory n=18, only 3 seeds per stratum; not a validated predictor
participation_rank	forgetting_gap	18	-0.12240828553427546	0.26281875986373476	0.45643546458763845	exploratory n=18, only 3 seeds per stratum; not a validated predictor
nuclear_participation_rank	target	18	-0.1178295989780299	0.11709535715351452	-0.1336306209562122	exploratory n=18, only 3 seeds per stratum; not a validated predictor
nuclear_participation_rank	off_score	18	-0.43446852425180593	-0.3488944127966621	-0.41666666666666674	exploratory n=18, only 3 seeds per stratum; not a validated predictor
nuclear_participation_rank	forgetting_gap	18	-0.13070715235015853	0.32078237834919715	0.27386127875258304	exploratory n=18, only 3 seeds per stratum; not a validated predictor
top1_energy	target	18	0.05581402056854048	-0.14142861330120554	0.1336306209562122	exploratory n=18, only 3 seeds per stratum; not a validated predictor
top1_energy	off_score	18	0.35397316821465424	0.37489718696056124	0.41666666666666674	exploratory n=18, only 3 seeds per stratum; not a validated predictor
top1_energy	forgetting_gap	18	0.20850902874906244	-0.35209834860431033	-0.27386127875258304	exploratory n=18, only 3 seeds per stratum; not a validated predictor
top4_energy	target	18	0.17364361954657037	-0.25223787162616257	0.1336306209562122	exploratory n=18, only 3 seeds per stratum; not a validated predictor
top4_energy	off_score	18	0.5087719298245613	0.3095051848298884	0.41666666666666674	exploratory n=18, only 3 seeds per stratum; not a validated predictor
top4_energy	forgetting_gap	18	0.052905275951254646	-0.27128864810986225	-0.27386127875258304	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_condition	target	18	0.20568500172480658	-0.2156185639217547	0.1336306209562122	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_condition	off_score	18	0.5521155830753354	0.291619364571833	0.41666666666666674	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_condition	forgetting_gap	18	0.0051867917599269266	-0.2596242951327212	-0.27386127875258304	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_fro	target	18	0.6532307592466219	0.5956000230986507	-0.31180478223116176	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_fro	off_score	18	0.41176470588235287	-0.23282215568839904	-0.33333333333333337	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_fro	forgetting_gap	18	-0.4273916410179787	0.20654244909157773	0.27386127875258304	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_nuclear	target	18	0.6532307592466219	0.5583794676349447	-0.0445435403187374	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_nuclear	off_score	18	0.3808049535603715	-0.26953956823735137	-0.41666666666666674	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_nuclear	forgetting_gap	18	-0.39730824881040255	0.24840844929657072	0.3651483716701107	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_head_rss	target	18	0.6677010608755027	0.6024468746515045	-0.0445435403187374	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_head_rss	off_score	18	0.43240454076367385	-0.2110299410690516	-0.25000000000000006	exploratory n=18, only 3 seeds per stratum; not a validated predictor
log_head_rss	forgetting_gap	18	-0.38382259023459253	0.18435423055896855	0.3651483716701107	exploratory n=18, only 3 seeds per stratum; not a validated predictor
fro_ratio	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
fro_ratio	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
fro_ratio	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
nuclear_ratio	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
nuclear_ratio	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
nuclear_ratio	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
head_ratio	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
head_ratio	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
head_ratio	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
original_head1_retention	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
original_head1_retention	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
original_head1_retention	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
original_head4_retention	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
original_head4_retention	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
original_head4_retention	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
scalar_fit	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
scalar_fit	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
scalar_fit	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
shape_residual	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
shape_residual	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
shape_residual	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
displacement	target	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
displacement	off_score	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
displacement	forgetting_gap	18				exploratory n=18, only 3 seeds per stratum; not a validated predictor
