checkpoint	base	train_task	seed	module	nuclear	fro	sigma1	entropy_rank	top1_energy
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.0.mlp.down_proj	0.9243967216461897	0.4348770259196334	0.4006049633026123	8.212029455420852	0.84859354022255
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.0.mlp.gate_proj	1.1472520753741264	0.327392606789038	0.1983010470867157	14.20912480676222	0.3668700669812852
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.0.mlp.up_proj	1.249337162822485	0.35936540346867957	0.21993516385555267	14.096910368982003	0.37455604690384636
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.k_proj	0.3675927147269249	0.09838890243820524	0.04656281694769859	15.00587049911109	0.22396814902210402
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.o_proj	0.6863410044461489	0.2250496622178654	0.1572539508342743	12.249533206411392	0.48825466339808393
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.q_proj	0.7130462285131216	0.2222185855226145	0.16297787427902222	13.264496133825643	0.5378938022458615
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.v_proj	0.29976160638034344	0.10196343959727205	0.06955661624670029	11.744118888300788	0.4653588079172068
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.1.mlp.down_proj	1.0377073669806123	0.5801682668273067	0.562632143497467	6.458495737158668	0.9404617538364266
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.1.mlp.gate_proj	0.8175180922262371	0.49648886845132717	0.4851330518722534	5.4194976805657	0.9547786435293426
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.1.mlp.up_proj	0.9489174084737897	0.5330876888619593	0.5087870955467224	5.887295537115358	0.9109087405264795
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.k_proj	0.4804339660331607	0.2240523866041454	0.2099415361881256	8.588636822484263	0.878006220206153
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.o_proj	0.8178900368511677	0.40397602890913137	0.3845377564430237	7.9600731528545206	0.9060805016537855
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.q_proj	0.6840334758162498	0.3388377180373264	0.32145529985427856	7.851967456931323	0.9000314478243547
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.v_proj	0.39438089658506215	0.2330849217147591	0.2261917144060135	5.576823271636686	0.9417270058915703
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.10.mlp.down_proj	0.7917205523699522	0.4909047368598852	0.48154276609420776	5.323480245949559	0.9622219966613808
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.10.mlp.gate_proj	1.3837148137390614	0.5677457933289842	0.5026028752326965	9.985226917119641	0.7836859980492551
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.10.mlp.up_proj	1.2433403115719557	0.5474536905637422	0.5023894309997559	9.217152126112003	0.8421437174341023
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.k_proj	0.3025545342825353	0.11983139097736983	0.10403087735176086	10.212854895008702	0.7536736318231986
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.o_proj	0.75922641903162	0.34932290803809046	0.32054415345191956	8.471722116813773	0.8420184082703205
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.q_proj	0.720871714875102	0.3541429987139277	0.3316822052001953	7.7755330184137055	0.8771765715734196
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.v_proj	0.3398205926641822	0.16019289615521876	0.1462707370519638	7.922938109727513	0.8337356907954351
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.down_proj	0.746164639480412	0.37799561092208067	0.3442939519882202	7.0930578224401994	0.829631576634307
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.gate_proj	1.3620189689099789	0.49557831591738893	0.4191068708896637	11.520973678659644	0.7151958248827589
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.up_proj	1.3548914976418018	0.5434944257616855	0.4792974591255188	10.307147830700202	0.777714265096638
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.k_proj	0.3461230560205877	0.1290150905927738	0.09625374525785446	10.456595912293833	0.5566141603810353
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.o_proj	0.7163562197238207	0.2869385250057868	0.2536928057670593	10.260325092732513	0.7816972431159728
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.q_proj	0.7704664152115583	0.3098321463870873	0.26914653182029724	10.09606728428327	0.7546135941000687
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.v_proj	0.3640447345096618	0.18069390901033527	0.16751374304294586	7.371839541060102	0.8594366291877172
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.12.mlp.down_proj	0.7492389846593142	0.32242574936543394	0.2784983813762665	9.078827593022488	0.7460808880970021
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.12.mlp.gate_proj	1.2937035039067268	0.4683473609855633	0.39855608344078064	11.62936270132537	0.7241736694109958
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.12.mlp.up_proj	1.246953696012497	0.44990964594753813	0.36963096261024475	11.476735637007197	0.6749724980753085
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.k_proj	0.3099272712133825	0.10734809312179316	0.08161096274852753	11.555550865639885	0.5779740420599365
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.o_proj	0.9178531914949417	0.393763174428197	0.3566807806491852	9.458100238342071	0.820520095438344
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.q_proj	0.6869056615978479	0.24664379607060516	0.19700782001018524	11.377746368792755	0.6380086087875702
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.v_proj	0.42963380133733153	0.25093861819853075	0.24430111050605774	5.878039215303427	0.9477981962020775
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.13.mlp.down_proj	0.6227435944601893	0.27988550925513506	0.255109578371048	8.857914377553525	0.8307927578092992
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.13.mlp.gate_proj	1.314782414585352	0.458173675775384	0.37983620166778564	12.051323696470188	0.6872779998695887
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.13.mlp.up_proj	1.2390930950641632	0.4661455282267768	0.39964935183525085	11.050019144699567	0.7350471215074008
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.k_proj	0.30244564497843385	0.0942574466621514	0.0637301355600357	12.9138524018783	0.4571495983701573
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.o_proj	0.787876607850194	0.2839674610438326	0.22980819642543793	11.357803697189	0.654928473048098
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.q_proj	0.6311122011393309	0.2157799724204908	0.16575993597507477	11.884547340552533	0.5901152990951636
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.v_proj	0.355359700974077	0.16809438371431995	0.15567152202129364	8.064325415048298	0.8576536429975692
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.14.mlp.down_proj	0.6736063621938229	0.2975161205789768	0.26686760783195496	8.917346727945608	0.8045827560047238
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.14.mlp.gate_proj	1.4063818417489529	0.47852187468019347	0.38591858744621277	12.26707720439168	0.650410886855407
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base_model.model.model.layers.14.mlp.up_proj	1.2370084933936596	0.4358084442979207	0.3579191565513611	11.804085406539713	0.6744947982907913
