cohort	field	value	clusters	feature	outcome	within_spearman
joint_flat_hns	seed	42	6	entropy_rank	target_gain	0.45962735987049386
joint_flat_hns	seed	42	6	entropy_rank	off_gain	0.3689323936863109
joint_flat_hns	seed	42	6	entropy_rank	forgetting_reduction	0.5172935265326569
joint_flat_hns	seed	42	6	energy_entropy_rank	target_gain	0.45962735987049386
joint_flat_hns	seed	42	6	energy_entropy_rank	off_gain	0.3689323936863109
joint_flat_hns	seed	42	6	energy_entropy_rank	forgetting_reduction	0.5172935265326569
joint_flat_hns	seed	42	6	stable_rank	target_gain	0.45962735987049386
joint_flat_hns	seed	42	6	stable_rank	off_gain	0.3689323936863109
joint_flat_hns	seed	42	6	stable_rank	forgetting_reduction	0.5172935265326569
joint_flat_hns	seed	42	6	participation_rank	target_gain	0.45962735987049386
joint_flat_hns	seed	42	6	participation_rank	off_gain	0.3689323936863109
joint_flat_hns	seed	42	6	participation_rank	forgetting_reduction	0.5172935265326569
joint_flat_hns	seed	42	6	nuclear_participation_rank	target_gain	0.45962735987049386
joint_flat_hns	seed	42	6	nuclear_participation_rank	off_gain	0.3689323936863109
joint_flat_hns	seed	42	6	nuclear_participation_rank	forgetting_reduction	0.5172935265326569
joint_flat_hns	seed	42	6	top1_energy	target_gain	-0.45962735987049386
joint_flat_hns	seed	42	6	top1_energy	off_gain	-0.3689323936863109
joint_flat_hns	seed	42	6	top1_energy	forgetting_reduction	-0.5172935265326569
joint_flat_hns	seed	42	6	top4_energy	target_gain	-0.45962735987049386
joint_flat_hns	seed	42	6	top4_energy	off_gain	-0.3689323936863109
joint_flat_hns	seed	42	6	top4_energy	forgetting_reduction	-0.5172935265326569
joint_flat_hns	seed	42	6	log_condition	target_gain	-0.45962735987049386
joint_flat_hns	seed	42	6	log_condition	off_gain	-0.3689323936863109
joint_flat_hns	seed	42	6	log_condition	forgetting_reduction	-0.5172935265326569
joint_flat_hns	seed	42	6	log_fro	target_gain	-0.6218487810012564
joint_flat_hns	seed	42	6	log_fro	off_gain	-0.5094780674715722
joint_flat_hns	seed	42	6	log_fro	forgetting_reduction	-0.4462924542634687
joint_flat_hns	seed	42	6	log_nuclear	target_gain	-0.0883021571376696
joint_flat_hns	seed	42	6	log_nuclear	off_gain	-0.08606629658238704
joint_flat_hns	seed	42	6	log_nuclear	forgetting_reduction	0.14907119849998599
joint_flat_hns	seed	42	6	log_head_rss	target_gain	-0.7010852072581887
joint_flat_hns	seed	42	6	log_head_rss	off_gain	-0.5666666666666667
joint_flat_hns	seed	42	6	log_head_rss	forgetting_reduction	-0.5965952781626133
joint_flat_hns	seed	42	6	fro_ratio	target_gain	-0.6218487810012564
joint_flat_hns	seed	42	6	fro_ratio	off_gain	-0.5094780674715722
joint_flat_hns	seed	42	6	fro_ratio	forgetting_reduction	-0.4462924542634687
joint_flat_hns	seed	42	6	nuclear_ratio	target_gain	-0.0883021571376696
joint_flat_hns	seed	42	6	nuclear_ratio	off_gain	-0.08606629658238704
joint_flat_hns	seed	42	6	nuclear_ratio	forgetting_reduction	0.14907119849998599
joint_flat_hns	seed	42	6	head_ratio	target_gain	-0.7010852072581887
joint_flat_hns	seed	42	6	head_ratio	off_gain	-0.5666666666666667
joint_flat_hns	seed	42	6	head_ratio	forgetting_reduction	-0.5965952781626133
joint_flat_hns	seed	42	6	original_head1_retention	target_gain	-0.7181848464596079
joint_flat_hns	seed	42	6	original_head1_retention	off_gain	-0.5
joint_flat_hns	seed	42	6	original_head1_retention	forgetting_reduction	-0.6735753140545634
joint_flat_hns	seed	42	6	original_head4_retention	target_gain	-0.7181848464596079
joint_flat_hns	seed	42	6	original_head4_retention	off_gain	-0.5
joint_flat_hns	seed	42	6	original_head4_retention	forgetting_reduction	-0.6735753140545634
