base	train_task	method	quantity	n	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	magicoder	original_lora	entropy_rank	3	0.6305	0.023066991568039378	0.6039	0.64499	0.64261
Qwen3-8B	magicoder	original_lora	energy_entropy_rank	3	0.2121666666666667	0.017179180228792452	0.19257	0.22463	0.2193
Qwen3-8B	magicoder	original_lora	stable_rank	3	0.09192666666666667	0.003568337614819162	0.08787	0.09458	0.09333
Qwen3-8B	magicoder	original_lora	participation_rank	3	0.12926	0.008456955717041442	0.11967	0.13565	0.13246
Qwen3-8B	magicoder	original_lora	nuclear_participation_rank	3	0.4103233333333333	0.02522723990715854	0.38133	0.42726	0.42238
Qwen3-8B	magicoder	original_lora	top1_energy	3	0.72232	0.030693613342192217	0.75739	0.70035	0.70922
Qwen3-8B	magicoder	original_lora	top4_energy	3	0.8962500000000001	0.00869879876764607	0.90624	0.89035	0.89216
Qwen3-8B	magicoder	original_lora	log_condition	3	2.8219833333333333	0.05658546220835647	2.88727	2.78707	2.79161
Qwen3-8B	magicoder	original_lora	log_fro	3	1.8983862090964347	0.19627942210566265	2.125014360516683	1.7873899513286207	1.7827543154440006
Qwen3-8B	magicoder	original_lora	log_nuclear	3	5.357239865134172	0.09410609379899855	5.465867724653845	5.305364785971763	5.300487084776908
Qwen3-8B	magicoder	original_lora	log_head_rss	3	1.7992068990396086	0.22732741878496265	2.0616933182462143	1.669811696607384	1.6661156822652277
Qwen3-8B	magicoder	original_lora	fro_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	nuclear_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	head_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	original_head1_retention	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	original_head4_retention	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	scalar_fit	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	original_lora	shape_residual	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	original_lora	displacement	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	original_lora	target	3	64.22764227642277	1.2693085362598402	65.2439024390244	62.80487804878049	64.63414634146342
Qwen3-8B	magicoder	original_lora	target_gain	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	original_lora	off_score	3	78.03676603360815	0.44753455333584613	77.79784283010969	77.75939775549442	78.55305751522032
Qwen3-8B	magicoder	original_lora	off_gain	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	original_lora	forgetting_gap	3	1.6655167511624869	0.48253822913963124	1.9004202758208966	1.985624576956435	1.1105054007101292
Qwen3-8B	magicoder	original_lora	forgetting_reduction	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	entropy_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	energy_entropy_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	stable_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	participation_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	nuclear_participation_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_fro	top1_energy	3	0.0625	0.0	0.0625	0.0625	0.0625
Qwen3-8B	magicoder	flat_fro	top4_energy	3	0.25	0.0	0.25	0.25	0.25
Qwen3-8B	magicoder	flat_fro	log_condition	3	0.0	0.0	0.0	0.0	0.0
