model,calib,task,metric,preserve_energy,module_set,source,baseline,abs_select,smooth_abs,random_index,grad_direction
Llama-3.1-8B,32,GSM8K,acc,l1,residual,residual_l1_sweep,0.668,0.657,0.66,0.657,0.622
Llama-3.1-8B,32,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.494,0.494,0.476,0.488,0.476
Llama-3.1-8B,32,IFEval,score,l1,residual,residual_l1_sweep,0.303,0.315,0.311,0.307,0.224
Llama-3.1-8B,32,CSQA,acc,l1,residual,residual_l1_sweep,0.74,0.735,0.737,0.742,0.785
Llama-3.1-8B,64,GSM8K,acc,l1,residual,residual_l1_sweep,0.659,0.661,0.654,0.657,0.621
Llama-3.1-8B,64,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.488,0.482,0.488,0.506,0.476
Llama-3.1-8B,64,IFEval,score,l1,residual,residual_l1_sweep,0.312,0.311,0.317,0.308,0.23
Llama-3.1-8B,64,CSQA,acc,l1,residual,residual_l1_sweep,0.74,0.734,0.738,0.74,0.782
Llama-3.1-8B,128,GSM8K,acc,l1,residual,residual_l1_sweep,0.657,0.659,0.668,0.661,0.614
Llama-3.1-8B,128,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.488,0.488,0.494,0.488,0.476
Llama-3.1-8B,128,IFEval,score,l1,residual,residual_l1_sweep,0.305,0.321,0.312,0.306,0.223
Llama-3.1-8B,128,CSQA,acc,l1,residual,residual_l1_sweep,0.74,0.736,0.735,0.743,0.784
Llama-3.1-8B,256,GSM8K,acc,l1,residual,residual_l1_sweep,0.655,0.657,0.659,0.66,0.61
Llama-3.1-8B,256,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.494,0.488,0.494,0.476,0.47
Llama-3.1-8B,256,IFEval,score,l1,residual,residual_l1_sweep,0.305,0.312,0.323,0.314,0.218
Llama-3.1-8B,256,CSQA,acc,l1,residual,residual_l1_sweep,0.741,0.74,0.737,0.74,0.783
Qwen3-8B,32,GSM8K,acc,l1,residual,residual_l1_sweep,0.809,0.801,0.807,0.811,0.814
Qwen3-8B,32,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.488,0.512,0.5,0.494,0.53
Qwen3-8B,32,IFEval,score,l1,residual,residual_l1_sweep,0.59,0.525,0.534,0.603,0.179
Qwen3-8B,32,CSQA,acc,l1,residual,residual_l1_sweep,0.852,0.852,0.851,0.853,0.855
Qwen3-8B,64,GSM8K,acc,l1,residual,residual_l1_sweep,0.807,0.806,0.805,0.81,0.811
Qwen3-8B,64,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.494,0.482,0.506,0.488,0.506
Qwen3-8B,64,IFEval,score,l1,residual,residual_l1_sweep,0.582,0.535,0.543,0.598,0.181
Qwen3-8B,64,CSQA,acc,l1,residual,residual_l1_sweep,0.848,0.851,0.851,0.853,0.855
Qwen3-8B,128,GSM8K,acc,l1,residual,residual_l1_sweep,0.815,0.805,0.802,0.81,0.816
Qwen3-8B,128,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.488,0.506,0.506,0.494,0.512
Qwen3-8B,128,IFEval,score,l1,residual,residual_l1_sweep,0.59,0.535,0.552,0.597,0.173
Qwen3-8B,128,CSQA,acc,l1,residual,residual_l1_sweep,0.855,0.852,0.851,0.852,0.853
Qwen3-8B,256,GSM8K,acc,l1,residual,residual_l1_sweep,0.808,0.805,0.801,0.805,0.817
Qwen3-8B,256,HumanEval,pass@1,l1,residual,residual_l1_sweep,0.494,0.5,0.488,0.494,0.5
Qwen3-8B,256,IFEval,score,l1,residual,residual_l1_sweep,0.588,0.523,0.547,0.604,0.169
Qwen3-8B,256,CSQA,acc,l1,residual,residual_l1_sweep,0.855,0.853,0.85,0.852,0.853
Llama-3.1-8B,32,GSM8K,acc,none,residual,residual_none_sweep,0.666,0.666,0.661,0.663,0.615
Llama-3.1-8B,32,HumanEval,pass@1,none,residual,residual_none_sweep,0.482,0.482,0.482,0.476,0.482
Llama-3.1-8B,32,IFEval,score,none,residual,residual_none_sweep,0.317,0.32,0.311,0.314,0.186
Llama-3.1-8B,32,CSQA,acc,none,residual,residual_none_sweep,0.74,0.726,0.727,0.742,0.785
Llama-3.1-8B,64,GSM8K,acc,none,residual,residual_none_sweep,0.666,0.66,0.662,0.661,0.623
Llama-3.1-8B,64,HumanEval,pass@1,none,residual,residual_none_sweep,0.488,0.476,0.47,0.488,0.476
Llama-3.1-8B,64,IFEval,score,none,residual,residual_none_sweep,0.314,0.315,0.318,0.317,0.187
Llama-3.1-8B,64,CSQA,acc,none,residual,residual_none_sweep,0.742,0.727,0.723,0.742,0.783
Llama-3.1-8B,128,GSM8K,acc,none,residual,residual_none_sweep,0.659,0.664,0.662,0.65,0.621
Llama-3.1-8B,128,HumanEval,pass@1,none,residual,residual_none_sweep,0.5,0.482,0.488,0.5,0.47
Llama-3.1-8B,128,IFEval,score,none,residual,residual_none_sweep,0.315,0.309,0.312,0.314,0.189
Llama-3.1-8B,128,CSQA,acc,none,residual,residual_none_sweep,0.74,0.727,0.725,0.74,0.782
Llama-3.1-8B,256,GSM8K,acc,none,residual,residual_none_sweep,0.659,0.667,0.665,0.656,0.625
Llama-3.1-8B,256,HumanEval,pass@1,none,residual,residual_none_sweep,0.5,0.482,0.482,0.506,0.494
Llama-3.1-8B,256,IFEval,score,none,residual,residual_none_sweep,0.314,0.317,0.321,0.317,0.193
Llama-3.1-8B,256,CSQA,acc,none,residual,residual_none_sweep,0.74,0.731,0.728,0.744,0.783
Qwen3-8B,32,GSM8K,acc,none,residual,residual_none_sweep,0.806,0.807,0.807,0.807,0.788
Qwen3-8B,32,HumanEval,pass@1,none,residual,residual_none_sweep,0.482,0.494,0.506,0.482,0.482
Qwen3-8B,32,IFEval,score,none,residual,residual_none_sweep,0.584,0.478,0.49,0.608,0.017
Qwen3-8B,32,CSQA,acc,none,residual,residual_none_sweep,0.852,0.844,0.85,0.853,0.838
